Won,Kills,Deaths,Assists,Dragons,Minions killed
red,4,3,2,0,263
red,4,12,5,0,198
red,6,6,11,1,240
red,1,5,1,0,223
blue,14,3,15,0,212
red,0,5,0,0,233
red,6,11,4,1,191
blue,6,6,5,0,210
red,4,7,6,0,268
blue,10,5,8,1,242
red,6,8,5,0,222
blue,8,5,10,1,229
red,11,8,15,0,174
blue,4,4,4,0,252
red,1,5,3,1,231
red,8,7,3,0,234
red,5,14,6,1,167
red,4,6,6,0,221
red,1,14,1,1,174
blue,4,9,3,0,212
blue,5,5,7,1,201
red,4,2,2,0,245
red,5,5,8,0,220
blue,12,9,15,0,186
blue,6,2,9,1,221
red,3,8,3,0,227
blue,5,5,3,0,244
blue,14,5,12,1,230
red,5,7,3,0,198
red,5,4,6,0,225
blue,3,7,2,0,231
blue,1,2,3,0,228
blue,11,4,8,1,233
red,2,7,2,0,220
blue,8,4,8,0,242
red,6,3,9,1,213
red,10,5,13,1,213
red,2,5,2,0,252
red,2,5,2,0,230
blue,12,4,11,0,255
blue,8,6,7,1,240
blue,9,3,10,0,230
red,5,6,5,1,221
red,9,6,13,0,212
red,5,5,3,0,241
red,9,3,8,0,202
red,1,7,1,0,200
red,1,3,1,0,227
blue,8,7,10,1,204
blue,6,4,7,0,235
red,5,7,2,1,217
red,10,12,13,1,184
red,5,9,5,0,173
blue,6,1,8,1,224
blue,9,5,4,1,223
red,1,6,2,0,218
blue,5,6,6,1,233
blue,7,6,5,1,246
red,7,7,6,0,209
blue,14,4,14,0,249
blue,6,4,3,1,228
red,4,11,2,1,197
blue,8,9,9,0,214
red,5,7,7,0,209
blue,5,7,3,1,234
blue,10,6,8,0,222
blue,6,2,9,0,230
blue,14,4,21,1,220
blue,9,4,6,0,220
blue,3,8,4,0,194
blue,6,0,8,1,265
red,4,7,3,0,210
red,3,5,3,0,270
blue,7,3,7,1,238
blue,11,9,13,0,225
red,2,11,3,0,196
blue,11,6,13,1,236
blue,11,7,14,0,217
red,4,12,0,1,190
red,4,1,4,0,227
red,3,9,3,0,217
red,4,9,5,0,173
blue,5,6,6,1,223
red,3,5,5,0,241
blue,6,10,8,0,201
red,9,8,5,0,194
blue,6,2,3,1,238
blue,5,3,5,0,229
red,3,8,2,0,222
blue,3,5,3,1,268
red,5,10,4,0,196
red,6,9,5,0,222
blue,10,4,10,0,218
red,5,2,5,1,224
blue,11,5,12,1,223
red,4,8,3,0,209
blue,6,3,7,1,245
blue,10,5,15,1,235
red,1,10,2,0,219
blue,10,5,14,1,200
red,1,4,2,0,224
red,8,6,8,1,212
red,1,6,1,0,169
red,5,11,4,0,214
red,3,4,6,0,213
blue,5,3,4,1,217
red,2,5,3,1,250
red,3,3,4,0,227
red,7,8,5,1,240
red,6,9,6,0,209
red,4,6,4,0,234
red,2,3,3,0,226
red,10,9,9,1,219
red,6,7,10,0,215
blue,3,4,2,1,223
red,5,7,8,0,191
blue,8,2,12,0,209
blue,9,7,10,1,207
red,5,2,5,0,245
red,2,8,2,1,211
blue,2,4,1,1,239
red,8,5,7,0,203
red,4,3,5,1,244
blue,10,7,9,0,228
blue,6,3,4,1,241
blue,5,4,6,0,236
red,8,8,9,0,214
red,1,8,2,1,214
blue,13,7,11,0,238
red,11,13,13,1,182
blue,4,5,3,1,242
blue,4,9,5,0,224
blue,8,11,6,0,180
red,5,9,4,0,229
blue,4,7,2,1,234
blue,7,8,7,1,190
blue,12,3,11,1,201
blue,4,7,3,0,201
blue,8,4,10,1,246
blue,12,8,15,1,221
blue,13,3,9,1,246
red,5,9,2,0,193
blue,4,4,1,1,274
red,5,10,6,0,269
red,5,10,6,0,176
red,5,8,1,0,212
blue,8,3,14,1,211
red,8,7,9,0,222
red,5,6,8,1,234
blue,2,6,1,0,234
blue,14,6,10,0,194
red,11,6,10,1,199
blue,6,5,4,1,253
red,2,11,2,0,226
blue,4,7,4,1,190
red,3,6,4,0,252
red,2,5,2,0,205
red,4,2,7,0,182
blue,6,4,5,1,218
blue,7,11,10,0,189
blue,7,10,9,0,198
red,3,7,3,0,162
red,4,8,5,0,226
red,5,6,4,0,222
blue,7,4,5,1,211
blue,6,3,10,0,232
red,4,9,4,0,195
red,5,5,7,0,238
blue,8,2,8,0,238
red,2,8,3,0,194
blue,6,2,9,0,243
red,5,8,7,0,217
red,1,4,1,0,229
blue,14,3,16,0,218
red,5,8,5,0,234
red,5,8,4,0,227
red,6,7,7,0,221
blue,6,5,9,0,227
blue,5,2,4,1,228
red,8,8,5,0,193
blue,6,4,7,0,239
red,2,6,3,0,234
blue,2,4,2,1,195
red,3,12,2,0,220
red,3,13,1,0,167
blue,7,8,8,1,238
blue,6,4,3,0,232
red,8,14,4,0,142
red,10,5,17,1,202
red,3,8,1,0,200
red,1,5,0,1,239
blue,5,8,7,1,231
blue,3,3,3,1,221
blue,7,10,9,1,173
red,3,3,2,0,228
blue,7,5,4,0,246
blue,11,6,13,1,220
red,6,9,7,0,212
blue,6,3,7,0,228
blue,4,1,6,1,217
blue,6,5,4,0,218
blue,5,5,6,0,230
blue,12,2,13,1,251
red,4,11,4,1,210
blue,9,3,17,1,220
blue,7,11,7,0,152
red,6,9,8,0,231
blue,9,5,14,0,223
red,3,8,3,0,217
blue,4,1,2,1,228
blue,11,10,8,0,192
blue,7,6,10,0,226
blue,10,10,10,0,219
blue,10,9,11,1,219
blue,9,2,21,1,263
red,6,13,9,0,191
blue,6,6,9,1,210
red,9,8,7,1,196
red,1,5,1,0,174
blue,2,1,4,0,214
blue,4,3,1,1,217
blue,3,7,2,0,215
red,7,8,8,0,203
red,4,4,2,0,232
red,5,7,3,0,221
blue,11,4,13,1,234
blue,11,5,18,1,227
red,3,9,1,1,204
blue,6,4,7,1,221
red,4,7,4,1,206
blue,6,1,9,1,208
red,10,12,9,0,149
blue,7,4,7,1,228
blue,9,3,6,0,230
blue,6,5,7,0,225
blue,10,6,9,0,223
red,8,12,11,0,182
red,7,9,4,1,231
blue,4,3,3,0,203
blue,11,4,12,0,239
red,6,7,5,0,234
blue,4,8,3,1,238
blue,11,4,15,1,216
red,1,6,0,0,207
red,3,9,2,0,201
red,3,10,1,0,209
blue,13,4,11,1,234
blue,3,2,5,0,253
red,9,7,8,0,238
blue,7,6,7,0,198
blue,5,4,5,0,213
red,10,7,10,1,213
blue,8,5,7,1,219
blue,10,5,9,1,211
blue,9,4,7,1,214
blue,5,6,6,1,190
red,7,9,6,0,199
red,5,5,5,0,209
blue,6,4,8,1,242
red,8,5,9,1,196
red,4,7,4,0,195
red,7,9,6,0,171
blue,6,3,10,1,215
red,7,4,8,0,219
blue,8,4,8,1,259
red,11,7,20,1,153
blue,5,6,5,1,235
blue,8,4,9,0,226
red,3,4,3,0,224
blue,14,10,9,0,199
blue,15,11,14,0,180
blue,4,3,7,1,212
red,6,7,5,0,207
blue,5,1,3,0,252
red,4,7,3,1,185
blue,8,8,9,0,175
blue,8,4,10,0,207
red,4,4,3,1,240
blue,5,4,0,0,202
red,8,7,8,1,212
blue,10,3,9,1,225
red,4,9,5,0,203
red,6,8,5,0,213
red,4,8,6,1,195
blue,11,8,14,1,238
red,2,9,4,0,166
red,4,11,3,0,200
blue,8,2,4,1,243
blue,9,1,9,0,249
red,4,8,5,1,213
red,2,4,3,0,260
red,3,4,5,1,215
blue,8,7,8,0,185
blue,9,10,11,1,200
red,3,5,3,0,231
red,3,8,2,0,211
blue,4,4,3,0,221
red,7,7,6,0,209
blue,7,7,11,1,201
blue,3,4,4,0,220
blue,7,2,6,0,245
blue,6,4,7,0,241
blue,10,3,8,0,266
red,5,4,6,1,224
blue,4,5,5,0,189
blue,11,7,9,0,220
red,10,10,11,0,183
blue,9,4,8,0,249
blue,7,6,8,1,196
red,10,4,17,1,157
blue,5,3,5,1,216
blue,9,6,8,0,168
blue,10,6,11,1,186
blue,6,4,9,1,239
blue,13,6,25,0,226
red,2,9,4,0,203
red,4,5,4,0,243
red,2,7,2,0,243
blue,9,3,8,1,261
red,3,10,3,0,194
blue,8,4,9,1,247
blue,6,3,5,1,225
blue,6,5,5,1,224
blue,5,6,8,1,185
red,6,7,6,1,222
blue,7,6,5,0,236
blue,8,1,12,0,207
red,10,8,11,0,204
blue,6,8,10,1,211
blue,12,1,11,1,227
red,2,5,3,0,232
blue,6,8,4,0,211
red,3,8,4,0,198
blue,5,4,4,0,252
red,5,8,5,1,196
blue,1,2,2,1,217
blue,8,9,10,0,211
blue,4,5,2,0,226
blue,4,5,5,0,235
blue,10,7,8,0,222
blue,8,9,11,1,214
blue,7,4,16,1,173
blue,6,3,7,0,247
red,7,16,6,0,172
blue,7,7,5,1,216
red,6,7,8,0,213
red,2,8,3,0,208
red,2,5,1,1,214
blue,3,5,2,0,201
blue,9,8,8,0,218
red,7,7,6,0,240
red,7,11,10,0,232
blue,8,0,12,1,249
blue,8,3,7,0,197
blue,6,6,8,1,225
blue,7,4,12,1,223
red,5,4,6,0,232
blue,12,10,20,1,165
blue,7,1,5,1,255
red,1,3,3,0,229
blue,13,3,21,0,232
red,6,6,6,0,236
blue,6,1,8,1,231
red,1,3,1,0,247
blue,8,6,9,1,187
red,8,11,6,0,217
blue,10,8,9,1,252
red,9,1,10,0,242
blue,4,2,7,0,234
blue,6,9,7,0,177
red,5,7,4,0,182
red,7,9,8,0,245
red,7,12,8,0,184
red,7,13,9,0,202
blue,4,3,7,1,195
red,3,3,7,1,202
red,0,6,0,0,184
red,2,5,4,0,203
blue,7,3,13,1,212
blue,6,2,5,1,264
blue,11,9,8,0,191
red,5,3,9,1,252
blue,6,11,7,1,174
red,3,9,3,0,184
red,7,6,6,0,205
blue,11,5,8,1,225
blue,5,1,5,1,220
blue,9,7,8,0,243
red,4,7,6,0,196
blue,9,5,8,0,229
blue,7,7,12,0,212
red,5,8,3,0,247
red,9,6,14,0,208
blue,11,3,9,1,188
blue,10,4,13,0,186
red,8,11,9,0,206
red,5,7,6,0,201
red,6,6,4,1,197
blue,9,3,16,0,209
red,8,8,9,1,199
red,6,12,6,0,215
red,6,6,6,1,203
blue,12,5,13,0,214
red,5,10,6,0,211
blue,10,4,8,0,232
red,0,9,0,0,190
blue,8,3,5,1,233
red,2,6,2,1,265
red,8,4,9,0,214
blue,12,6,11,1,227
blue,7,5,4,1,192
blue,5,4,6,1,257
red,4,3,6,0,216
red,2,6,3,0,219
blue,9,9,11,1,221
blue,16,5,16,0,230
blue,9,4,12,1,227
red,5,4,4,0,220
blue,4,7,5,0,224
red,5,5,5,0,182
blue,5,6,5,0,225
blue,6,3,6,0,204
blue,10,3,8,0,181
blue,12,8,18,1,202
red,1,5,1,0,210
red,11,6,5,0,196
red,6,8,6,0,228
blue,10,6,10,0,230
red,3,4,4,0,241
blue,8,7,7,1,203
blue,5,7,1,0,240
red,3,4,3,0,227
red,4,9,4,0,197
red,11,10,20,0,172
blue,8,7,9,0,193
red,5,6,5,0,218
red,4,12,4,0,166
blue,7,10,8,1,225
blue,7,3,6,1,237
blue,11,7,12,0,187
blue,3,7,5,0,244
red,2,4,2,0,235
blue,9,7,13,0,201
blue,8,4,4,1,246
blue,4,4,5,1,220
red,3,8,2,0,209
red,11,2,9,1,236
red,4,5,3,0,199
red,8,5,8,0,229
red,3,2,5,0,227
red,6,11,9,0,232
blue,18,13,6,0,236
blue,9,9,10,1,228
blue,9,8,11,1,202
red,7,5,8,0,218
blue,5,4,6,0,233
red,2,11,2,0,180
red,8,11,9,1,190
blue,3,1,4,0,279
red,9,5,6,1,235
red,6,7,10,1,229
red,11,7,7,0,233
red,5,3,4,0,211
red,2,9,2,0,180
red,0,5,0,0,202
red,3,6,1,0,219
blue,7,8,5,1,244
blue,11,6,12,0,189
blue,17,5,16,1,199
blue,5,5,5,0,193
blue,11,3,12,1,224
blue,7,3,3,1,237
blue,11,6,15,1,195
red,6,7,3,1,228
blue,4,2,2,1,228
blue,8,7,9,0,208
blue,7,0,15,1,240
red,8,9,13,1,224
blue,7,4,7,1,256
red,4,6,1,0,192
red,4,8,3,1,222
red,12,12,17,0,188
red,7,4,8,1,255
red,3,11,4,0,197
blue,5,6,2,0,231
red,9,5,11,0,231
red,2,3,4,0,253
red,9,5,8,0,232
red,3,6,1,1,210
blue,4,3,2,0,250
red,7,7,8,0,193
red,11,11,13,0,198
red,6,5,4,1,251
red,3,8,3,1,220
blue,5,5,6,1,238
red,2,5,3,1,231
red,7,4,8,0,238
red,4,8,5,0,205
red,7,10,5,0,169
red,11,7,8,0,212
blue,3,3,5,0,259
red,11,14,8,0,198
blue,2,7,2,0,230
blue,7,9,6,0,216
blue,7,5,8,0,198
red,6,7,9,0,187
red,5,9,8,0,197
red,6,7,7,0,221
red,8,8,7,0,214
red,3,4,4,1,222
blue,4,9,8,1,225
blue,6,5,9,1,184
red,8,11,7,0,229
blue,8,2,9,1,262
blue,6,1,5,1,248
red,4,4,5,0,225
blue,7,8,3,0,206
red,1,4,2,1,216
blue,7,5,8,0,217
red,4,9,6,0,189
blue,5,2,4,0,245
blue,6,6,7,0,223
red,4,8,3,0,226
blue,5,6,4,0,254
blue,10,6,13,0,220
red,4,11,2,1,188
red,6,9,5,1,191
red,6,12,3,1,208
blue,2,4,2,0,225
red,4,7,5,0,211
red,8,8,12,1,214
red,9,4,5,0,238
blue,5,3,8,1,247
red,6,1,8,1,250
blue,7,7,7,1,222
red,2,11,4,0,232
red,9,8,11,1,211
blue,8,3,8,0,250
blue,5,2,6,1,231
red,5,5,5,1,247
red,3,4,4,0,233
red,7,3,10,1,212
blue,4,5,2,0,204
blue,9,7,19,0,226
red,10,7,9,0,186
blue,9,8,9,0,199
blue,8,5,9,1,233
blue,11,7,12,0,243
blue,7,8,8,1,230
red,6,8,8,0,226
red,9,9,10,1,212
red,4,4,6,0,215
blue,7,6,8,0,244
red,3,5,4,0,201
blue,4,6,4,0,229
red,7,3,8,1,215
red,3,4,6,1,218
red,1,7,1,0,171
blue,3,7,3,0,234
red,6,5,4,0,226
red,1,14,1,1,180
red,9,9,7,1,206
blue,8,4,6,0,232
red,3,12,4,0,178
blue,6,6,5,0,228
blue,4,2,9,0,229
blue,8,5,9,0,228
red,3,8,4,0,201
blue,5,5,4,0,244
blue,14,17,18,0,150
blue,3,5,3,0,230
red,0,5,0,0,246
blue,4,2,8,1,259
blue,2,5,1,1,231
red,5,11,3,1,213
red,9,6,11,0,208
red,4,7,4,1,221
red,3,2,2,0,256
red,6,3,6,0,183
blue,17,10,25,0,239
blue,8,3,10,0,233
red,5,5,6,1,223
blue,8,7,8,0,233
blue,4,2,6,1,244
red,10,9,9,1,201
red,8,6,11,0,211
red,6,9,4,0,198
red,3,5,6,0,218
blue,4,7,6,1,217
red,5,8,3,0,177
red,9,6,9,1,226
blue,9,3,10,1,254
blue,13,6,13,1,220
blue,7,5,10,0,199
blue,8,3,8,1,233
blue,5,4,8,1,197
red,7,5,5,1,220
red,3,3,1,1,238
red,3,5,4,0,183
blue,3,4,0,0,240
red,3,5,6,0,229
blue,2,5,3,1,224
blue,11,4,18,1,258
blue,4,4,0,1,219
red,4,8,7,1,190
red,9,4,11,1,209
blue,4,5,0,1,218
blue,8,9,9,0,251
blue,9,4,17,0,202
red,3,2,6,0,212
blue,8,6,8,0,215
red,5,5,7,0,235
blue,10,6,10,1,238
red,10,9,15,1,219
blue,10,11,13,1,193
red,6,5,8,0,219
red,3,7,0,0,170
red,5,10,3,0,210
red,5,11,4,1,179
red,7,6,8,0,211
blue,9,4,10,0,254
red,7,8,9,0,189
blue,2,1,1,0,244
red,11,5,10,0,224
red,3,10,3,1,211
red,4,5,7,0,246
red,4,9,6,0,169
blue,3,2,3,1,217
red,3,5,2,0,221
blue,9,1,13,0,251
blue,15,16,10,1,205
red,1,7,1,0,236
blue,10,7,15,1,227
red,3,6,0,0,225
red,5,9,3,0,232
red,2,5,3,0,238
blue,9,1,9,1,255
blue,12,1,14,1,236
red,7,8,8,0,229
red,3,9,2,1,188
blue,5,3,4,0,213
red,2,11,2,0,191
red,2,11,3,0,202
blue,11,5,11,1,247
red,5,8,1,1,175
red,6,7,3,0,218
red,6,4,4,0,215
blue,3,5,5,1,247
red,3,8,2,0,209
blue,1,2,0,1,256
red,6,7,10,1,197
blue,7,2,10,1,227
red,6,7,7,0,238
red,6,5,5,0,225
blue,10,4,13,0,193
blue,6,6,12,1,229
blue,9,5,11,1,163
red,2,2,2,0,207
red,2,4,2,1,241
blue,8,4,10,1,217
red,6,3,10,0,251
red,4,7,4,0,224
blue,5,3,7,0,189
red,6,12,9,0,193
blue,6,4,12,1,211
red,2,4,3,0,221
blue,8,8,11,0,231
red,8,5,7,1,217
red,0,8,0,0,153
blue,8,1,8,1,234
blue,11,5,12,1,227
blue,5,6,2,1,233
red,4,5,5,0,224
blue,8,8,8,1,240
red,3,5,2,0,205
red,4,6,6,1,232
red,4,5,4,1,211
red,4,6,5,0,182
blue,4,4,4,0,199
blue,10,4,12,0,223
blue,6,4,9,0,241
blue,6,3,10,1,247
red,7,7,5,1,235
blue,4,5,6,0,210
blue,9,1,7,1,230
red,4,5,3,1,214
blue,9,3,9,1,247
blue,10,6,16,1,214
red,7,5,10,1,231
blue,7,3,3,0,255
blue,6,13,9,1,160
red,3,3,5,1,234
red,7,7,12,0,195
blue,3,4,4,0,242
blue,5,8,6,0,231
blue,7,7,7,0,231
red,6,8,8,0,240
red,2,8,2,0,222
red,8,5,12,1,237
red,5,9,3,1,186
red,6,6,5,1,191
blue,11,8,16,0,172
blue,3,5,2,1,207
blue,9,6,11,1,223
blue,5,4,9,0,252
red,4,3,5,1,235
blue,4,6,4,0,200
red,5,10,8,1,194
red,7,9,7,0,224
blue,5,11,6,0,182
red,6,10,7,0,205
red,6,8,4,0,172
blue,15,2,15,1,224
red,1,7,1,0,222
blue,6,10,4,0,212
blue,7,7,4,0,174
blue,7,2,10,1,224
red,5,4,3,1,224
blue,9,7,12,0,196
red,1,6,2,0,240
red,5,4,3,1,227
red,6,1,11,0,242
blue,11,8,12,0,208
blue,12,9,9,0,232
red,7,9,10,0,209
blue,11,10,7,1,236
blue,7,6,3,0,229
blue,5,8,5,1,237
red,5,6,5,0,210
blue,3,6,3,0,241
blue,6,14,6,0,196
blue,10,10,11,0,197
blue,8,6,9,0,202
red,4,7,6,0,247
red,5,3,7,0,226
blue,6,4,10,0,276
blue,5,7,4,0,243
red,1,11,2,0,194
red,5,4,8,0,201
blue,11,6,21,1,190
red,5,15,6,0,216
red,5,6,8,1,230
blue,3,3,2,1,229
blue,9,9,7,0,240
blue,8,4,7,1,242
blue,11,1,13,0,263
red,7,7,13,1,199
red,2,5,4,0,226
red,9,8,11,1,237
red,5,5,6,1,186
red,10,10,17,1,213
blue,2,2,1,0,253
blue,6,5,6,1,238
red,10,5,12,0,200
red,6,8,5,0,233
blue,13,4,14,1,187
blue,6,3,8,1,235
red,6,5,8,1,217
blue,7,6,4,0,237
red,4,9,6,0,181
blue,6,3,4,0,224
red,6,9,8,0,226
blue,4,5,5,0,218
red,5,4,5,0,215
blue,10,5,10,0,214
red,10,6,4,0,236
blue,5,7,9,0,215
red,5,9,3,1,229
red,10,10,14,1,222
red,7,4,6,0,201
blue,11,6,12,0,207
red,7,5,10,0,246
red,4,11,5,0,213
blue,13,12,17,1,215
red,5,3,5,0,205
blue,4,9,4,0,237
blue,7,3,7,0,231
red,6,10,9,0,188
red,5,8,4,0,233
blue,7,8,6,1,221
red,5,9,4,0,194
red,1,9,2,0,199
blue,8,7,7,1,224
blue,3,2,1,0,231
blue,8,6,7,0,239
red,1,6,0,0,209
red,10,16,10,0,199
blue,9,10,16,1,203
red,2,13,0,0,163
blue,14,4,15,0,220
red,3,11,2,0,158
blue,9,3,9,0,213
blue,12,5,6,0,240
red,2,10,2,0,191
red,4,6,5,0,261
blue,8,13,5,0,198
blue,12,6,17,1,203
red,4,1,4,1,232
red,2,8,3,1,202
blue,3,3,3,1,245
red,4,0,3,0,272
red,2,7,3,1,225
blue,7,2,7,0,248
blue,2,4,3,0,236
blue,12,7,13,0,176
red,3,5,5,0,203
blue,7,9,6,0,231
red,7,16,11,0,177
blue,3,5,2,0,219
blue,7,5,6,0,224
blue,6,8,5,0,231
red,7,11,5,0,195
red,2,5,2,0,216
blue,6,4,4,1,214
red,4,11,2,1,183
red,3,8,6,0,169
red,1,6,2,0,220
red,8,8,13,0,191
blue,9,4,14,1,228
red,6,6,6,0,240
red,4,5,3,0,222
red,6,5,7,0,220
blue,8,7,6,1,215
blue,6,4,4,1,195
blue,3,3,4,0,215
blue,5,8,6,1,211
red,4,3,4,0,252
blue,7,8,9,0,169
blue,10,12,11,0,203
blue,7,4,6,1,240
blue,12,3,16,1,254
red,4,5,5,0,186
red,9,8,8,0,216
blue,9,5,10,1,197
blue,3,6,5,0,198
blue,7,5,5,0,203
red,4,5,7,0,248
blue,4,6,4,1,204
blue,5,10,4,0,206
blue,9,8,12,0,212
red,5,13,5,0,172
red,5,5,1,1,179
red,1,9,1,0,188
red,6,4,11,0,215
blue,3,3,2,1,225
blue,6,5,5,0,198
red,5,12,5,1,212
red,3,6,3,0,201
red,8,7,12,1,190
red,8,13,12,0,165
red,5,11,3,1,209
red,9,6,17,0,209
red,4,7,6,0,194
blue,4,6,5,0,227
red,3,5,4,0,214
red,5,9,7,0,188
red,2,8,0,0,219
red,3,7,5,0,191
red,7,7,8,0,193
red,6,6,6,0,211
red,5,7,7,0,208
red,7,4,4,0,231
red,3,6,3,1,234
blue,5,9,8,0,196
blue,2,3,0,0,247
red,8,2,8,0,207
blue,6,6,9,0,201
blue,4,1,7,1,264
blue,9,4,6,1,231
red,8,6,10,0,202
red,8,6,7,0,192
red,8,7,11,0,245
red,2,10,2,0,150
blue,4,5,5,0,213
red,3,7,2,0,214
red,8,7,11,0,196
blue,3,3,1,0,232
blue,5,1,6,1,239
blue,7,1,4,1,234
red,9,8,11,0,180
red,4,5,5,0,231
blue,6,4,5,1,229
blue,6,6,7,0,228
blue,9,8,11,1,191
blue,9,13,11,0,175
red,5,8,2,0,225
red,4,7,6,1,170
red,2,3,1,0,233
blue,5,5,5,0,233
blue,12,2,14,0,195
blue,7,7,8,0,194
red,2,5,2,0,232
blue,4,5,4,0,215
blue,6,9,6,1,210
blue,8,5,13,0,227
blue,6,3,4,0,236
red,6,4,8,0,208
blue,10,2,6,1,234
blue,1,7,0,0,271
blue,9,6,9,0,219
red,3,8,4,0,225
red,5,8,5,0,209
blue,5,4,9,1,245
red,3,3,6,1,173
blue,10,5,12,0,222
red,5,8,5,0,216
blue,7,12,5,1,194
blue,8,7,7,0,229
red,2,2,1,0,271
blue,9,7,9,0,230
red,5,7,6,0,217
blue,6,6,5,0,207
blue,5,7,2,0,205
blue,13,1,18,0,226
red,6,9,8,0,202
red,3,7,5,0,170
red,2,12,3,0,175
blue,10,6,14,0,207
red,6,8,4,0,199
red,6,3,6,0,252
blue,8,4,12,1,199
red,5,6,8,1,236
blue,7,6,8,1,246
red,2,5,1,0,236
blue,7,3,8,1,228
blue,10,9,10,0,176
red,7,7,7,0,194
blue,8,4,11,0,222
